id,file_name,file_index,img_type,time_utc,minute_offsets,episode_id,event_id,event_type,llcrnrlat,llcrnrlon,urcrnrlat,urcrnrlon,proj,size_x,size_y,height_m,width_m,data_min,data_max,pct_missing
R17061402257851,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,839,vil,2017-06-14 02:25:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,36.43041819099284,-99.78839298789592,39.868941773719385,-95.37515969980178,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S710695,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,170,vil,2017-06-30 04:15:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,118257.0,710695.0,Thunderstorm Wind,37.76998460251809,-95.24621426571832,41.025758844752495,-90.5284526311732,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S698126,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,121,vil,2017-06-15 21:50:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,116157.0,698126.0,Thunderstorm Wind,32.43083941297011,-82.79846901798744,35.164788876878895,-77.94840189246052,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S710922,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,67,vil,2017-06-24 20:14:00,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,118300.0,710922.0,Hail,41.73070516682851,-81.8124065627451,44.35453922134738,-76.11783965246515,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,246.0,0.0
R17062409327533,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,300,vil,2017-06-24 09:32:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,30.346141452134795,-95.00477469432076,33.61376121804907,-90.738575241173,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,245.0,0.0
S694450,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,191,vil,2017-06-16 03:15:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,115613.0,694450.0,Thunderstorm Wind,39.96144567578023,-92.92838064367209,43.1139989605239,-87.92777965845572,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17061402257452,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,838,vil,2017-06-14 02:25:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,29.712430358141752,-85.72671777624764,32.59690388622957,-81.15895439049837,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,253.0,0.0
R17062418007501,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,332,vil,2017-06-24 18:00:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,29.703025213080178,-100.3650946580127,33.175074369426326,-96.33595173692947,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,235.0,0.0
S706493,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,144,vil,2017-06-30 20:09:00,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,117473.0,706493.0,Thunderstorm Wind,41.15426945625726,-76.813212748874,43.52395027691276,-70.96311064535831,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S697176,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,148,vil,2017-06-14 01:40:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,116011.0,697176.0,Hail,44.36773871883601,-98.82903346633704,47.7636425302471,-93.75859608151428,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17063000428212,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,384,vil,2017-06-30 00:42:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,40.70866168150968,-80.68012422044468,43.2822793824594,-75.04168460150062,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17062418007642,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,331,vil,2017-06-24 18:00:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,32.53899850736933,-97.89344317450308,35.91201395850721,-93.62358877385677,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,185.0,0.0
R17061511157470,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,1049,vil,2017-06-15 11:15:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,28.951237627768,-97.48771853615509,32.31912346971692,-93.3846345472972,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,109.0,0.0
R17061411227912,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,1416,vil,2017-06-14 11:22:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,36.72999264300827,-91.64243113130912,39.83697154276649,-86.83652276734942,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,196.0,0.0
S708407,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,66,vil,2017-06-29 19:15:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,117879.0,708407.0,Hail,46.45138571450226,-104.98769730403572,50.09269945066613,-100.11918282468793,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17061820177537,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,810,vil,2017-06-18 20:17:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,30.738912345381184,-89.84152738087839,33.7947061108989,-85.35985498312104,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S697724,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,35,vil,2017-06-30 01:11:00,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,116086.0,697724.0,Hail,35.98638598945787,-104.1179947088538,39.585167740684575,-99.937107504602,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17062903107520,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,697,vil,2017-06-29 03:10:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,30.203799091937647,-101.25036418309216,33.706661309640914,-97.23297489695152,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,71.0,0.0
S710328,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,175,vil,2017-06-24 21:16:00,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,118201.0,710328.0,Thunderstorm Wind,33.42754520407459,-81.62869733319498,36.09951762965567,-76.66368902309577,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17062407257539,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,66,vil,2017-06-24 07:25:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,30.448511595139948,-95.94915417554434,33.752640621455264,-91.71358696610882,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S706556,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,181,vil,2017-06-29 22:14:00,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,117483.0,706556.0,Funnel Cloud,40.94653185533412,-95.71437606899671,44.21577734610079,-90.77208471421312,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17062913357789,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,1232,vil,2017-06-29 13:35:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,34.898401839533854,-91.74578654203933,38.01642206143861,-87.07456783194539,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,169.0,0.0
R17062009558355,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,452,vil,2017-06-20 09:55:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,42.17156442966056,-80.59367197482473,44.73041985241901,-74.79661800497107,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,236.0,0.0
R17062913357937,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,1237,vil,2017-06-29 13:35:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,37.45898524540532,-97.42219746094187,40.80363187634804,-92.8295185307648,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17062209478204,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,610,vil,2017-06-22 09:47:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,40.66250797010585,-93.83777664630252,43.852588351444034,-88.82321014546646,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S708002,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,130,vil,2017-06-15 21:07:00,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,117754.0,708002.0,Hail,33.0948499720101,-102.80760224316757,36.64878408958469,-98.71734656938078,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17063023157675,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,1079,vil,2017-06-30 23:15:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,33.308103672125604,-99.795715997888,36.75153161365321,-95.56411586290336,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S694467,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,4,vil,2017-06-14 05:40:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,115569.0,694467.0,Thunderstorm Wind,42.97930726071704,-95.64168307229504,46.2425520327475,-90.51689024600306,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17063009057895,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,988,vil,2017-06-30 09:05:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,36.84845513046229,-97.69657853650465,40.20500528717936,-93.15810958731976,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17061820178203,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,812,vil,2017-06-18 20:17:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,40.52759197318005,-82.05958445681465,43.17170789984685,-76.49984990957947,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17062209478334,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,609,vil,2017-06-22 09:47:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,42.10811984537296,-78.61494368074828,44.56487314366949,-72.73709731272713,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,204.0,0.0
R17062422408170,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,1209,vil,2017-06-24 22:40:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,40.11306875448487,-91.92699597453894,43.22153501744653,-86.86451066789213,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,193.0,0.0
R17061710557767,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,795,vil,2017-06-17 10:55:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,34.68001353986002,-96.48042860749784,37.99279818783874,-92.026032956139,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17062019007502,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,118,vil,2017-06-20 19:00:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,30.55409963215956,-86.15140771559217,33.45197285259712,-81.54685136336721,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,238.0,0.0
R17061511157994,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,1052,vil,2017-06-15 11:15:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,37.83077738498529,-90.59929910127576,40.88848567011003,-85.66253660116234,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17062209477654,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,612,vil,2017-06-22 09:47:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,32.779565534930924,-89.99420380160153,35.832011845728545,-85.39233067171836,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,210.0,0.0
